リーグ,チーム,選手名,背番号,ポジション,区分,被打率,被打数,被安打,被本塁打,奪三振,与四球,与死球
セ,横浜DeNAベイスターズ,マルセリーノ,98,投,対右打者,0.213,47,10,0,12,1,2
セ,横浜DeNAベイスターズ,マルセリーノ,98,投,対左打者,0.367,49,18,2,13,10,1
セ,横浜DeNAベイスターズ,ルイーズ,49,投,対右打者,0.283,46,13,1,9,7,0
セ,横浜DeNAベイスターズ,ルイーズ,49,投,対左打者,0.184,49,9,1,10,3,1
セ,横浜DeNAベイスターズ,レイノルズ,62,投,対右打者,0.194,72,14,2,30,4,0
セ,横浜DeNAベイスターズ,レイノルズ,62,投,対左打者,0.118,68,8,0,27,5,2
セ,横浜DeNAベイスターズ,伊勢大夢,13,投,対右打者,0.216,51,11,1,18,6,0
セ,横浜DeNAベイスターズ,伊勢大夢,13,投,対左打者,0.275,51,14,2,9,3,0
セ,横浜DeNAベイスターズ,岩田将貴,68,投,対右打者,0.227,22,5,0,4,2,0
セ,横浜DeNAベイスターズ,岩田将貴,68,投,対左打者,0.265,49,13,0,8,0,1
セ,横浜DeNAベイスターズ,吉野光樹,24,投,対右打者,0.286,28,8,2,4,2,0
セ,横浜DeNAベイスターズ,吉野光樹,24,投,対左打者,0.231,26,6,0,7,5,0
セ,横浜DeNAベイスターズ,宮城滝太,65,投,対右打者,0.295,44,13,3,8,3,0
セ,横浜DeNAベイスターズ,宮城滝太,65,投,対左打者,0.16,50,8,0,17,2,1
セ,横浜DeNAベイスターズ,橋本達弥,35,投,対右打者,0,10,0,0,5,5,0
セ,横浜DeNAベイスターズ,橋本達弥,35,投,対左打者,0.25,12,3,0,4,3,0
セ,横浜DeNAベイスターズ,坂本裕哉,20,投,対右打者,0.321,53,17,4,9,8,0
セ,横浜DeNAベイスターズ,坂本裕哉,20,投,対左打者,0.217,46,10,0,11,4,1
セ,横浜DeNAベイスターズ,山﨑康晃,19,投,対右打者,0.256,39,10,1,10,6,1
セ,横浜DeNAベイスターズ,山﨑康晃,19,投,対左打者,0.256,39,10,2,12,4,1
セ,横浜DeNAベイスターズ,篠木健太郎,30,投,対右打者,0.238,84,20,3,20,7,0
セ,横浜DeNAベイスターズ,篠木健太郎,30,投,対左打者,0.265,98,26,1,22,9,1
セ,横浜DeNAベイスターズ,若松尚輝,39,投,対右打者,0.179,39,7,0,11,5,1
セ,横浜DeNAベイスターズ,若松尚輝,39,投,対左打者,0.275,40,11,1,6,7,0
セ,横浜DeNAベイスターズ,庄司陽斗,93,投,対右打者,0.5,6,3,1,1,1,0
セ,横浜DeNAベイスターズ,庄司陽斗,93,投,対左打者,0.167,12,2,0,2,0,0
セ,横浜DeNAベイスターズ,松本凌人,38,投,対右打者,0,6,0,0,2,0,0
セ,横浜DeNAベイスターズ,松本凌人,38,投,対左打者,0,4,0,0,1,0,0
セ,横浜DeNAベイスターズ,深沢鳳介,43,投,対右打者,0.186,59,11,1,12,3,1
セ,横浜DeNAベイスターズ,深沢鳳介,43,投,対左打者,0.378,45,17,0,4,3,0
セ,横浜DeNAベイスターズ,石田健大,14,投,対右打者,0.167,6,1,0,2,1,0
セ,横浜DeNAベイスターズ,石田健大,14,投,対左打者,0.4,5,2,2,1,0,0
セ,横浜DeNAベイスターズ,石田裕太郎,54,投,対右打者,0.273,150,41,3,42,13,2
セ,横浜DeNAベイスターズ,石田裕太郎,54,投,対左打者,0.229,188,43,2,46,6,3
セ,横浜DeNAベイスターズ,竹田祐,12,投,対右打者,0.241,29,7,2,6,5,0
