選手名,チーム,試合,打率,本塁打,打点,安打,盗塁,出塁率,長打率,OPS,打席
赤星 優志,巨人,34,0,0,0,0,0,0,0,0,3
浅野 翔吾,巨人,9,0.185,1,1,5,0,0.214,0.333,0.547,28
石川 達也,巨人,6,0,0,0,0,0,0,0,0,0
石塚 裕惺,巨人,22,0.236,0,6,17,0,0.321,0.306,0.627,81
泉口 友汰,巨人,95,0.244,6,31,81,5,0.315,0.361,0.676,377
泉 圭輔,巨人,11,0,0,0,0,0,0,0,0,0
井上 温大,巨人,18,0.069,0,2,2,0,0.065,0.069,0.134,35
ウィットリー,巨人,14,0.045,0,1,1,0,0.125,0.045,0.17,26
宇都宮 葵星,巨人,6,0.5,0,0,1,0,0.5,0.5,1,2
浦田 俊輔,巨人,97,0.284,0,23,96,31,0.338,0.325,0.663,378
大城 卓三,巨人,79,0.262,8,28,60,0,0.335,0.459,0.794,255
岡田 悠希,巨人,3,0.143,0,1,1,0,0.25,0.143,0.393,8
小笠原 慎之介,巨人,5,0.182,0,0,2,0,0.182,0.364,0.546,11
甲斐 拓也,巨人,6,0,0,0,0,0,0,0,0,7
門脇 誠,巨人,58,0.16,0,5,8,3,0.222,0.24,0.462,57
キャベッジ,巨人,95,0.233,13,29,75,4,0.284,0.394,0.678,345
岸田 行倫,巨人,58,0.239,4,15,43,0,0.294,0.328,0.622,201
北浦 竜次,巨人,12,0,0,0,0,0,0,0,0,0
小濱 佑斗,巨人,28,0.204,1,9,11,0,0.259,0.315,0.574,58
小林 誠司,巨人,15,0.1,0,0,1,0,0.25,0.2,0.45,12
坂本 勇人,巨人,48,0.151,4,14,16,0,0.229,0.283,0.512,118
佐々木 俊輔,巨人,89,0.265,8,30,65,3,0.333,0.429,0.762,273
笹原 操希,巨人,34,0.235,2,15,20,1,0.27,0.388,0.658,90
代木 大和,巨人,5,0,0,0,0,0,1,0,1,1
ダルベック,巨人,106,0.256,20,64,99,0,0.323,0.469,0.792,430
大勢,巨人,32,0,0,0,0,0,0,0,0,0
高梨 雄平,巨人,18,0,0,0,0,0,0,0,0,0
竹丸 和幸,巨人,18,0.08,0,2,2,0,0.148,0.08,0.228,30
田中 瑛斗,巨人,46,0,0,0,0,0,0,0,0,0
田中 将大,巨人,10,0,0,0,0,0,0,0,0,18
田和 廉,巨人,32,0,0,0,0,0,0,0,0,0
知念 大成,巨人,15,0.276,0,2,8,0,0.276,0.31,0.586,29
ティマ,巨人,13,0.1,0,0,3,0,0.1,0.1,0.2,30
戸郷 翔征,巨人,9,0.25,0,1,3,0,0.308,0.333,0.641,16
中川 皓太,巨人,37,0,0,0,0,0,0,0,0,0
中山 礼都,巨人,41,0.215,1,11,23,1,0.277,0.29,0.567,119
西舘 勇陽,巨人,7,0.1,0,0,1,0,0.1,0.1,0.2,10
則本 昂大,巨人,9,0.091,0,0,1,0,0.091,0.091,0.182,12
ハワード,巨人,5,0,0,0,0,0,0,0,0,8
バルドナード,巨人,2,0,0,0,0,0,0,0,0,0
萩尾 匡也,巨人,4,0,0,0,0,1,0.333,0,0.333,3
平山 功太,巨人,25,0.291,2,9,23,3,0.325,0.43,0.755,83
船迫 大雅,巨人,36,0,0,0,0,0,0,0,0,0
平内 龍太,巨人,1,0,0,0,0,0,0,0,0,0
堀田 賢慎,巨人,23,0,0,0,0,0,0,0,0,0
マタ,巨人,4,0,0,0,0,0,0,0,0,7
マルティネス,巨人,40,0,0,0,0,0,0,0,0,0
増田 大輝,巨人,32,0.25,0,0,4,2,0.25,0.25,0.5,19
増田 陸,巨人,38,0.255,2,11,28,1,0.265,0.355,0.62,113
又木 鉄平,巨人,5,0,0,0,0,0,0,0,0,4
松本 剛,巨人,97,0.272,2,18,79,14,0.322,0.328,0.65,324
丸 佳浩,巨人,49,0.173,2,15,13,0,0.271,0.293,0.564,85
皆川 岳飛,巨人,11,0.133,0,0,2,0,0.188,0.133,0.321,16
宮原 駿介,巨人,5,0,0,0,0,0,0,0,0,0
森田 駿哉,巨人,16,0,0,0,0,0,0.333,0,0.333,3
山﨑 伊織,巨人,5,0.1,0,0,1,0,0.182,0.2,0.382,12
山城 京平,巨人,1,0,0,0,0,0,0,0,0,0
山瀬 慎之助,巨人,10,0.2,1,2,4,0,0.2,0.4,0.6,20
山田 龍聖,巨人,2,0,0,0,0,0,0,0,0,0
吉川 尚輝,巨人,40,0.243,1,7,33,6,0.285,0.287,0.572,144
リチャード,巨人,9,0.056,1,1,1,0,0.19,0.222,0.412,21
ルシアーノ,巨人,12,0,0,0,0,0,0,0,0,0
若林 楽人,巨人,21,0.179,0,0,5,0,0.207,0.214,0.421,29
石黒 佑弥,阪神,13,0,0,0,0,0,0,0,0,1
井坪 陽生,阪神,2,0,0,0,0,0,0,0,0,2
伊藤 将司,阪神,7,0.1,0,2,1,0,0.1,0.2,0.3,10
糸原 健斗,阪神,11,0.091,0,0,1,0,0.091,0.182,0.273,11
伊原 陵人,阪神,8,0.25,0,1,3,0,0.25,0.25,0.5,14
茨木 秀俊,阪神,3,0,0,0,0,0,0.25,0,0.25,4
岩貞 祐太,阪神,1,0,0,0,0,0,0,0,0,0
岩崎 優,阪神,37,0,0,0,0,0,0,0,0,0
植田 海,阪神,20,0.5,0,1,1,4,0.8,0.5,1.3,5
梅野 隆太郎,阪神,24,0.182,1,3,12,1,0.236,0.258,0.494,74
大竹 耕太郎,阪神,14,0.136,0,0,3,0,0.136,0.136,0.272,25
大山 悠輔,阪神,106,0.277,14,62,104,0,0.369,0.435,0.804,442
岡城 快生,阪神,15,0.152,0,1,5,0,0.176,0.212,0.388,34
小野寺 暖,阪神,21,0.125,0,1,2,0,0.125,0.125,0.25,16
小幡 竜平,阪神,36,0.213,0,4,20,1,0.267,0.245,0.512,104
及川 雅貴,阪神,31,0,0,0,0,0,0,0,0,0
ガルシア,阪神,15,0.16,2,7,4,0,0.276,0.44,0.716,29
木浪 聖也,阪神,48,0.232,1,14,29,1,0.287,0.28,0.567,136
木下 里都,阪神,28,0,0,0,0,0,0,0,0,1
桐敷 拓馬,阪神,20,0,0,0,0,0,0,0,0,0
工藤 泰成,阪神,39,0,0,0,0,0,0,0,0,0
熊谷 敬宥,阪神,64,0.221,0,13,33,5,0.252,0.255,0.507,163
今朝丸 裕喜,阪神,3,0,0,0,0,0,0,0,0,3
才木 浩人,阪神,20,0.067,0,1,2,0,0.125,0.067,0.192,40
榮枝 裕貴,阪神,2,0,0,0,0,0,0,0,0,1
坂本 誠志郎,阪神,71,0.213,6,28,42,2,0.28,0.345,0.625,224
佐藤 輝明,阪神,108,0.316,29,81,126,6,0.4,0.624,1.024,460
椎葉 剛,阪神,4,0,0,0,0,0,0,0,0,1
島田 海吏,阪神,5,0,0,0,0,0,0,0,0,3
嶋村 麟士朗,阪神,30,0.195,1,5,8,0,0.195,0.268,0.463,41
下村 海翔,阪神,5,0,0,1,0,0,0.111,0,0.111,9
神宮 僚介,阪神,5,0,0,0,0,0,0,0,0,0
セベリーノ,阪神,7,0,0,0,0,0,0,0,0,0
髙寺 望夢,阪神,97,0.236,2,20,59,11,0.331,0.304,0.635,291
髙橋 遥人,阪神,17,0.108,0,0,4,0,0.108,0.108,0.216,43
立石 正広,阪神,32,0.198,2,10,22,1,0.212,0.27,0.482,113
谷端 将伍,阪神,1,0,0,0,0,0,0,0,0,3
近本 光司,阪神,55,0.276,2,9,62,8,0.347,0.333,0.68,251
津田 淳哉,阪神,7,0,0,0,0,0,0,0,0,0
ディベイニー,阪神,5,0.143,0,0,1,0,0.25,0.143,0.393,8
ドリス,阪神,40,0,0,0,0,0,0,0,0,0
富田 蓮,阪神,1,0,0,0,0,0,0,0,0,0
中川 勇斗,阪神,10,0.053,0,2,1,0,0.25,0.105,0.355,25
中野 拓夢,阪神,108,0.285,0,18,109,6,0.336,0.319,0.655,437
西 勇輝,阪神,6,0,0,0,0,0,0,0,0,9
畠 世周,阪神,11,0,0,0,0,0,0,0,0,0
濱田 太貴,阪神,19,0.16,1,2,4,0,0.222,0.28,0.502,27
早川 太貴,阪神,9,0,0,0,0,0,0,0,0,2
福島 圭音,阪神,63,0.234,0,4,30,6,0.315,0.297,0.612,145
伏見 寅威,阪神,38,0.222,0,11,22,0,0.271,0.242,0.513,111
前川 右京,阪神,51,0.242,5,16,31,0,0.345,0.406,0.751,148
村上 頌樹,阪神,21,0.05,0,0,2,0,0.073,0.05,0.123,46
モレッタ,阪神,19,0,0,0,0,0,0,0,0,0
元山 飛優,阪神,27,0.273,0,3,18,1,0.355,0.303,0.658,79
百﨑 蒼生,阪神,2,0,0,0,0,0,0,0,0,2
森下 翔太,阪神,108,0.289,29,66,117,3,0.379,0.568,0.947,470
門別 啓人,阪神,11,0,0,0,0,0,0,0,0,2
湯浅 京己,阪神,23,0,0,0,0,0,0,0,0,0
ルーカス,阪神,3,0,0,0,0,0,0,0,0,4
東 克樹,DeNA,19,0.047,0,0,2,0,0.047,0.047,0.094,46
石上 泰輝,DeNA,33,0.195,0,4,16,1,0.239,0.268,0.507,92
石田 健大,DeNA,2,0,0,0,0,0,0,0,0,0
石田 裕太郎,DeNA,15,0.087,0,1,2,0,0.087,0.087,0.174,28
伊勢 大夢,DeNA,35,0,0,0,0,0,0,0,0,0
井上 朋也,DeNA,5,0,0,0,0,0,0.111,0,0.111,9
入江 大生,DeNA,7,0.167,0,2,1,0,0.167,0.333,0.5,9
岩田 将貴,DeNA,18,0,0,0,0,0,0,0,0,0
エンカーナシオン,DeNA,36,0.301,9,33,44,1,0.316,0.527,0.843,152
蝦名 達夫,DeNA,77,0.239,4,21,61,5,0.312,0.337,0.649,283
尾形 崇斗,DeNA,11,0.071,0,0,1,0,0.071,0.071,0.142,15
小田 康一郎,DeNA,3,0,0,0,0,0,0.125,0,0.125,8
梶原 昂希,DeNA,28,0.203,1,5,13,2,0.292,0.328,0.62,73
片山 皓心,DeNA,4,0,0,0,0,0,0,0,0,5
勝又 温史,DeNA,90,0.3,4,33,90,3,0.33,0.377,0.707,317
加藤 響,DeNA,1,0,0,0,0,0,0,0,0,1
神里 和毅,DeNA,54,0.125,0,1,2,1,0.263,0.25,0.513,20
京田 陽太,DeNA,50,0.226,1,11,26,1,0.27,0.287,0.557,124
九鬼 隆平,DeNA,9,0.222,0,0,2,0,0.222,0.333,0.555,9
コックス,DeNA,2,0,0,0,0,0,0,0,0,4
坂本 裕哉,DeNA,30,0,0,0,0,0,0,0,0,0
佐野 恵太,DeNA,100,0.258,5,38,96,0,0.333,0.358,0.691,414
篠木 健太郎,DeNA,12,0.136,0,0,3,0,0.174,0.136,0.31,25
柴田 竜拓,DeNA,38,0.1,0,1,1,0,0.091,0.1,0.191,14
島田 舜也,DeNA,4,0,0,0,0,0,0.25,0,0.25,6
庄司 陽斗,DeNA,1,0,0,0,0,0,0,0,0,1
関根 大気,DeNA,7,0.19,0,2,4,0,0.19,0.238,0.428,21
平良 拳太郎,DeNA,16,0,0,0,0,0,0.118,0,0.118,21
高見澤 郁魅,DeNA,1,0,0,0,0,0,0,0,0,1
竹田 祐,DeNA,5,0.1,0,0,1,0,0.1,0.1,0.2,10
武田 陸玖,DeNA,1,0,0,0,0,0,0,0,0,0
筒香 嘉智,DeNA,69,0.254,14,36,59,0,0.361,0.491,0.852,274
デュプランティエ,DeNA,2,0,0,0,0,0,0,0,0,3
戸柱 恭孝,DeNA,28,0.197,0,5,12,0,0.254,0.262,0.516,67
中川 虎大,DeNA,36,0,0,0,0,0,0,0,0,0
中川 颯,DeNA,6,0.333,0,0,1,0,0.333,0.333,0.666,3
成瀬 脩人,DeNA,20,0.245,0,5,12,0,0.245,0.265,0.51,49
橋本 達弥,DeNA,6,0,0,0,0,0,0,0,0,0
浜地 真澄,DeNA,15,0,0,0,0,0,0,0,0,0
林 琢真,DeNA,48,0.226,1,16,24,4,0.278,0.34,0.618,117
馬場 皐輔,DeNA,5,0,0,0,0,0,0,0,0,0
ヒュンメル,DeNA,59,0.209,5,18,27,0,0.304,0.364,0.668,148
ビシエド,DeNA,21,0.25,1,6,7,0,0.29,0.357,0.647,31
ビド,DeNA,2,0,0,0,0,0,0,0,0,2
深沢 鳳介,DeNA,7,0.083,0,0,1,0,0.083,0.083,0.166,14
藤浪 晋太郎,DeNA,2,0.5,0,0,1,0,0.5,0.5,1,3
古市 尊,DeNA,9,0.208,0,0,5,0,0.24,0.292,0.532,25
堀岡 隼人,DeNA,6,0,0,0,0,0,0,0,0,0
マルセリーノ,DeNA,26,0,0,0,0,0,0,0,0,0
牧 秀悟,DeNA,74,0.279,21,51,80,2,0.362,0.554,0.916,326
益子 京右,DeNA,1,0,0,0,0,0,0,0,0,0
松尾 汐恩,DeNA,71,0.251,4,14,57,1,0.305,0.361,0.666,248
松本 凌人,DeNA,13,0,0,0,0,0,0,0,0,0
三森 大貴,DeNA,58,0.24,0,9,30,13,0.278,0.272,0.55,133
宮城 滝太,DeNA,30,0,0,0,0,0,0,0,0,0
宮﨑 敏郎,DeNA,82,0.261,8,32,67,0,0.338,0.397,0.735,290
宮下 朝陽,DeNA,53,0.233,6,20,37,2,0.278,0.377,0.655,170
