選手名,チーム,登板,先発,救援,勝,敗,セーブ,ホールド,投球回(アウト),投球回,投球数,打者,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,防御率,WHIP,K%,BB%,K-BB%,K/9,BB/9,HR/9,平均Game Score,更新日
田中 将大,読売ジャイアンツ,10,10,0,3,3,0,0,161,53.2,830,232,59,2,16,0,40,25,21,3.52,1.40,17.2%,6.9%,10.3%,6.71,2.68,0.34,50.3,2026/08/18
大勢,読売ジャイアンツ,32,0,32,1,1,3,22,88,29.1,430,110,15,2,6,1,33,11,7,2.15,0.72,30.0%,5.5%,24.5%,10.13,1.84,0.61,,2026/08/18
西舘 勇陽,読売ジャイアンツ,7,7,0,2,3,0,0,110,36.2,647,154,27,6,16,3,38,11,11,2.70,1.17,24.7%,10.4%,14.3%,9.33,3.93,1.47,58.0,2026/08/18
山﨑 伊織,読売ジャイアンツ,5,5,0,1,1,0,0,88,29.1,543,131,31,3,13,1,22,16,16,4.91,1.50,16.8%,9.9%,6.9%,6.75,3.99,0.92,47.0,2026/08/18
戸郷 翔征,読売ジャイアンツ,9,9,0,4,1,0,0,157,52.1,892,216,38,2,15,8,53,13,13,2.24,1.01,24.5%,6.9%,17.6%,9.11,2.58,0.34,61.7,2026/08/18
竹丸 和幸,読売ジャイアンツ,18,18,0,8,9,0,0,309,103,1712,442,104,13,32,3,110,52,45,3.93,1.32,24.9%,7.2%,17.6%,9.61,2.80,1.14,52.6,2026/08/18
代木 大和,読売ジャイアンツ,5,0,5,0,0,0,0,39,13,211,54,10,2,5,0,10,6,6,4.15,1.15,18.5%,9.3%,9.3%,6.92,3.46,1.38,,2026/08/18
ウィットリー,読売ジャイアンツ,14,14,0,3,4,0,0,245,81.2,1273,325,48,5,36,6,97,26,21,2.31,1.03,29.8%,11.1%,18.8%,10.69,3.97,0.55,61.7,2026/08/18
ハワード,読売ジャイアンツ,5,5,0,2,2,0,0,88,29.1,462,118,23,1,9,0,36,6,5,1.53,1.09,30.5%,7.6%,22.9%,11.05,2.76,0.31,63.4,2026/08/18
田和 廉,読売ジャイアンツ,32,0,32,0,0,0,3,85,28.1,465,120,21,1,13,4,18,6,6,1.91,1.20,15.0%,10.8%,4.2%,5.72,4.13,0.32,,2026/08/18
