試合ID,試合日,選手名,球団,対戦相手,打順,守備,打席,打数,安打,単打,二塁打,三塁打,本塁打,打点,出塁数
20260327-b-e-01,2026-03-27,村林 一輝,東北楽天ゴールデンイーグルス,オリックス・バファローズ,1,遊,6,6,2,1,1,0,0,0,2
20260327-b-e-01,2026-03-27,辰己 涼介,東北楽天ゴールデンイーグルス,オリックス・バファローズ,2,中,5,4,2,1,0,1,0,0,3
20260327-b-e-01,2026-03-27,ボイト,東北楽天ゴールデンイーグルス,オリックス・バファローズ,3,指,5,4,2,0,2,0,0,3,2
20260327-b-e-01,2026-03-27,マッカスカー,東北楽天ゴールデンイーグルス,オリックス・バファローズ,4,左,5,5,2,0,2,0,0,4,2
20260327-b-e-01,2026-03-27,黒川 史陽,東北楽天ゴールデンイーグルス,オリックス・バファローズ,5,三,5,5,1,1,0,0,0,1,1
20260327-b-e-01,2026-03-27,浅村 栄斗,東北楽天ゴールデンイーグルス,オリックス・バファローズ,6,一,4,4,1,1,0,0,0,1,1
20260327-b-e-01,2026-03-27,宗 佑磨,オリックス・バファローズ,東北楽天ゴールデンイーグルス,1,三,4,4,0,0,0,0,0,0,0
20260327-b-e-01,2026-03-27,西川 龍馬,オリックス・バファローズ,東北楽天ゴールデンイーグルス,2,左,4,4,1,0,1,0,0,0,1
20260327-b-e-01,2026-03-27,太田 椋,オリックス・バファローズ,東北楽天ゴールデンイーグルス,3,二,4,3,0,0,0,0,0,0,1
20260327-b-e-01,2026-03-27,中島 大輔,東北楽天ゴールデンイーグルス,オリックス・バファローズ,7,右,4,3,1,1,0,0,0,0,2
20260327-b-e-01,2026-03-27,太田 光,東北楽天ゴールデンイーグルス,オリックス・バファローズ,8,捕,5,4,3,3,0,0,0,0,4
20260327-b-e-01,2026-03-27,小深田 大翔,東北楽天ゴールデンイーグルス,オリックス・バファローズ,9,二,5,5,1,1,0,0,0,1,1
20260327-b-e-01,2026-03-27,シーモア,オリックス・バファローズ,東北楽天ゴールデンイーグルス,4,一,4,4,1,1,0,0,0,0,1
20260327-b-e-01,2026-03-27,若月 健矢,オリックス・バファローズ,東北楽天ゴールデンイーグルス,5,指,4,4,1,1,0,0,0,0,1
20260327-b-e-01,2026-03-27,森 友哉,オリックス・バファローズ,東北楽天ゴールデンイーグルス,6,捕,3,3,1,0,1,0,0,0,1
20260327-b-e-01,2026-03-27,中川 圭太,オリックス・バファローズ,東北楽天ゴールデンイーグルス,7,中,3,3,0,0,0,0,0,0,0
20260327-b-e-01,2026-03-27,紅林 弘太郎,オリックス・バファローズ,東北楽天ゴールデンイーグルス,8,遊,3,3,0,0,0,0,0,0,0
20260327-b-e-01,2026-03-27,廣岡 大志,オリックス・バファローズ,東北楽天ゴールデンイーグルス,9,右,3,3,0,0,0,0,0,0,0
20260327-b-e-01,2026-03-27,鈴木 大地,東北楽天ゴールデンイーグルス,オリックス・バファローズ,6,一,1,1,0,0,0,0,0,0,0
20260327-b-e-01,2026-03-27,渡邊 佳明,東北楽天ゴールデンイーグルス,オリックス・バファローズ,7,打,1,1,1,1,0,0,0,0,1
20260327-c-d-01,2026-03-27,カリステ,中日ドラゴンズ,広島東洋カープ,1,右,5,4,1,1,0,0,0,1,2
20260327-c-d-01,2026-03-27,田中 幹也,中日ドラゴンズ,広島東洋カープ,2,二,5,4,2,2,0,0,0,0,3
20260327-c-d-01,2026-03-27,岡林 勇希,中日ドラゴンズ,広島東洋カープ,3,中,6,6,3,3,0,0,0,0,3
20260327-c-d-01,2026-03-27,細川 成也,中日ドラゴンズ,広島東洋カープ,4,左,5,5,2,2,0,0,0,0,2
