球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO
読売ジャイアンツ,甲斐 拓也,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,小林 誠司,捕手,0.000,2,0,0,0,0,0,0,0,1,0,0,0,0,0.333,0.000,0.333,0.000
読売ジャイアンツ,大城 卓三,捕手,0.281,32,4,9,4,0,1,3,11,1,0,0,0,1,0.238,0.500,0.738,0.219
読売ジャイアンツ,岸田 行倫,捕手,0.333,18,4,6,0,0,1,1,6,2,1,2,0,0,0.333,0.500,0.833,0.167
読売ジャイアンツ,郡 拓也,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,山瀬 慎之助,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,湯浅 大,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,増田 大輝,内野手,0.000,1,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,吉川 尚輝,内野手,0.250,40,5,10,0,0,0,2,7,3,1,0,1,0,0.259,0.250,0.509,0.000
読売ジャイアンツ,門脇 誠,内野手,0.000,2,2,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,坂本 勇人,内野手,0.105,19,3,2,1,0,0,1,10,2,0,0,0,0,0.174,0.158,0.332,0.053
読売ジャイアンツ,石塚 裕惺,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,ダルベック,内野手,0.200,40,4,8,2,0,1,4,17,4,0,0,0,0,0.231,0.325,0.556,0.125
読売ジャイアンツ,浦田 俊輔,内野手,0.345,29,4,10,0,0,0,0,2,1,1,1,6,0,0.293,0.345,0.638,0.000
読売ジャイアンツ,小濱 佑斗,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,泉口 友汰,内野手,0.200,45,5,9,2,0,0,3,4,4,2,0,1,1,0.250,0.244,0.494,0.044
読売ジャイアンツ,リチャード,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,荒巻 悠,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,増田 陸,内野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,宇都宮 葵星,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,平山 功太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,藤井 健翔,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,丸 佳浩,外野手,0.238,21,1,5,0,0,1,6,5,2,0,0,0,0,0.250,0.381,0.631,0.143
読売ジャイアンツ,松本 剛,外野手,0.367,30,1,11,3,0,0,4,3,1,1,2,0,0,0.302,0.467,0.769,0.100
読売ジャイアンツ,萩尾 匡也,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,キャベッジ,外野手,0.282,39,6,11,1,0,4,10,16,4,1,0,1,0,0.291,0.615,0.906,0.333
読売ジャイアンツ,岡田 悠希,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,皆川 岳飛,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,中山 礼都,外野手,0.267,15,0,4,3,0,0,5,4,3,0,0,1,0,0.318,0.467,0.785,0.200
読売ジャイアンツ,佐々木 俊輔,外野手,0.233,30,3,7,2,0,0,2,6,3,0,1,0,0,0.250,0.300,0.550,0.067
読売ジャイアンツ,ティマ,外野手,0.118,17,0,2,0,0,0,0,6,0,0,0,0,0,0.105,0.118,0.223,0.000
読売ジャイアンツ,浅野 翔吾,外野手,0.000,3,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,若林 楽人,外野手,0.000,1,0,0,0,0,0,0,1,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,三塚 琉生,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,松井 蓮太朗,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,喜多 隆介,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,亀田 啓太,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,坂本 達也,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,中田 歩夢,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,村山 源,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,田上 優弥,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,竹下 徠空,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,北村 流音,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,川原田 純平,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,鈴木 大和,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,知念 大成,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,相澤 白虎,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,フェリス,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,笹原 操希,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,梅野 隆太郎,捕手,0.000,5,1,0,0,0,0,0,2,0,1,0,1,0,0.167,0.000,0.167,0.000
阪神タイガース,坂本 誠志郎,捕手,0.154,13,0,2,1,0,0,1,4,0,0,0,0,1,0.133,0.231,0.364,0.077
阪神タイガース,伏見 寅威,捕手,0.308,13,1,4,0,0,0,1,2,1,0,0,0,0,0.278,0.308,0.585,0.000
阪神タイガース,榮枝 裕貴,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,町田 隼乙,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,長坂 拳弥,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,藤田 健斗,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,中川 勇斗,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,嶋村 麟士朗,捕手,0.333,9,0,3,0,0,0,1,3,0,0,0,0,0,0.250,0.333,0.583,0.000
阪神タイガース,元山 飛優,内野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,木浪 聖也,内野手,0.200,10,1,2,1,0,0,0,4,0,0,0,0,0,0.167,0.300,0.467,0.100
阪神タイガース,大山 悠輔,内野手,0.189,37,1,7,0,0,0,1,10,3,0,0,0,0,0.213,0.189,0.402,0.000
阪神タイガース,熊谷 敬宥,内野手,0.250,20,3,5,1,0,0,4,6,2,0,1,2,1,0.259,0.300,0.559,0.050
阪神タイガース,中野 拓夢,内野手,0.282,39,1,11,0,0,0,1,6,2,0,1,0,0,0.250,0.282,0.532,0.000
阪神タイガース,佐藤 輝明,内野手,0.270,37,4,10,1,0,3,6,6,4,0,0,1,2,0.275,0.541,0.815,0.270
阪神タイガース,立石 正広,内野手,0.122,41,1,5,0,0,0,2,11,1,0,0,1,0,0.128,0.122,0.250,0.000
阪神タイガース,ディベイニー,内野手,0.143,7,1,1,0,0,0,0,3,1,0,0,0,0,0.222,0.143,0.365,0.000
阪神タイガース,谷端 将伍,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,糸原 健斗,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,小幡 竜平,内野手,0.000,4,0,0,0,0,0,0,2,0,0,0,0,2,0.000,0.000,0.000,0.000
阪神タイガース,佐野 大陽,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,山田 脩也,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,百﨑 蒼生,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,植田 海,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,髙寺 望夢,内野手,0.212,33,4,7,0,0,0,1,8,4,1,1,0,1,0.267,0.212,0.479,0.000
阪神タイガース,森下 翔太,外野手,0.235,34,5,8,0,1,3,5,9,3,1,0,1,1,0.261,0.559,0.820,0.324
阪神タイガース,近本 光司,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
阪神タイガース,濱田 太貴,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
