球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO,期間
読売ジャイアンツ,甲斐 拓也,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,小林 誠司,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,大城 卓三,捕手,0.389,18,3,7,4,0,0,2,5,1,0,0,0,1,0.308,0.611,0.919,0.222,2026/05/26_2026/05/31
読売ジャイアンツ,岸田 行倫,捕手,0.400,10,2,4,0,0,1,1,1,2,0,1,0,0,0.375,0.700,1.075,0.300,2026/05/26_2026/05/31
読売ジャイアンツ,郡 拓也,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,山瀬 慎之助,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,湯浅 大,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,増田 大輝,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,吉川 尚輝,内野手,0.238,21,3,5,0,0,0,0,4,1,0,0,1,0,0.222,0.238,0.460,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,門脇 誠,内野手,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,坂本 勇人,内野手,0.250,8,2,2,1,0,0,1,3,1,0,0,0,0,0.273,0.375,0.648,0.125,2026/05/26_2026/05/31
読売ジャイアンツ,石塚 裕惺,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,ダルベック,内野手,0.286,21,2,6,2,0,0,3,8,3,0,0,0,0,0.300,0.381,0.681,0.095,2026/05/26_2026/05/31
読売ジャイアンツ,浦田 俊輔,内野手,0.273,11,2,3,0,0,0,0,0,0,1,1,3,0,0.267,0.273,0.539,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,小濱 佑斗,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,泉口 友汰,内野手,0.125,24,3,3,1,0,0,2,1,2,2,0,0,0,0.226,0.167,0.392,0.042,2026/05/26_2026/05/31
読売ジャイアンツ,リチャード,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,荒巻 悠,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,増田 陸,内野手,0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,宇都宮 葵星,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,平山 功太,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,藤井 健翔,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,丸 佳浩,外野手,0.364,11,0,4,0,0,0,2,2,0,0,0,0,0,0.267,0.364,0.630,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,松本 剛,外野手,0.353,17,0,6,2,0,0,2,2,1,1,0,0,0,0.320,0.471,0.791,0.118,2026/05/26_2026/05/31
読売ジャイアンツ,萩尾 匡也,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,キャベッジ,外野手,0.318,22,3,7,1,0,1,6,6,1,1,0,0,0,0.290,0.500,0.790,0.182,2026/05/26_2026/05/31
読売ジャイアンツ,岡田 悠希,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,皆川 岳飛,外野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,中山 礼都,外野手,0.000,4,0,0,0,0,0,0,2,1,0,0,0,0,0.200,0.000,0.200,0.000,2026/05/26_2026/05/31
読売ジャイアンツ,佐々木 俊輔,外野手,0.214,14,1,3,2,0,0,1,5,1,0,1,0,0,0.222,0.357,0.579,0.143,2026/05/26_2026/05/31
