球団名,No.,投手,生年月日,身長,体重,投,打,備考,ポジション,区分,更新日,背番号,1軍
読売ジャイアンツ,11,田中 将大,1988.11.01,188,102,右,右,,投手,支配下,2026/4/7,11,
読売ジャイアンツ,15,大勢,1999.06.29,183,90,右,右,,投手,支配下,2026/4/7,15,TRUE
読売ジャイアンツ,17,西舘 勇陽,2002.03.11,185,88,右,右,,投手,支配下,2026/4/7,17,
読売ジャイアンツ,19,山﨑 伊織,1998.10.10,181,81,右,左,,投手,支配下,2026/4/7,19,
読売ジャイアンツ,20,戸郷 翔征,2000.04.04,187,85,右,右,,投手,支配下,2026/4/7,20,TRUE
読売ジャイアンツ,21,竹丸 和幸,2002.02.26,179,76,左,左,,投手,支配下,2026/4/7,21,TRUE
読売ジャイアンツ,26,ウィットリー,1997.09.15,201,94,右,右,,投手,支配下,2026/4/7,26,
読売ジャイアンツ,28,ハワード,1996.07.28,190,95,右,右,,投手,支配下,2026/4/7,28,
読売ジャイアンツ,30,田和 廉,2003.05.02,183,87,右,右,,投手,支配下,2026/4/7,30,TRUE
読売ジャイアンツ,31,赤星 優志,1999.07.02,175,82,右,右,,投手,支配下,2026/4/7,31,TRUE
読売ジャイアンツ,36,山城 京平,2003.09.20,174,70,左,左,,投手,支配下,2026/4/7,36,
読売ジャイアンツ,41,中川 皓太,1994.02.24,183,86,左,左,,投手,支配下,2026/4/7,41,TRUE
読売ジャイアンツ,42,マタ,1999.05.03,190,101,右,右,,投手,支配下,2026/4/7,42,
読売ジャイアンツ,43,則本 昂大,1990.12.17,178,89,右,左,,投手,支配下,2026/4/7,43,
読売ジャイアンツ,45,田中 瑛斗,1999.07.13,184,84,右,左,,投手,支配下,2026/4/7,45,TRUE
読売ジャイアンツ,46,又木 鉄平,1999.02.12,182,95,左,左,,投手,支配下,2026/4/7,46,
読売ジャイアンツ,47,森田 駿哉,1997.02.11,185,88,左,左,,投手,支配下,2026/4/7,47,
読売ジャイアンツ,48,ルシアーノ,2000.02.15,190,95,右,右,3/24 育成選手から支配下選手へ移行,投手,支配下,2026/4/7,48,
読売ジャイアンツ,49,バルドナード,1993.02.01,196,122,左,左,,投手,支配下,2026/4/7,49,
読売ジャイアンツ,53,高梨 雄平,1992.07.13,175,86,左,左,,投手,支配下,2026/4/7,53,TRUE
読売ジャイアンツ,54,松浦 慶斗,2003.07.01,187,100,左,左,,投手,支配下,2026/4/7,54,
読売ジャイアンツ,56,北浦 竜次,2000.01.12,184,103,左,左,,投手,支配下,2026/4/7,56,
読売ジャイアンツ,57,宮原 駿介,2002.09.12,174,85,左,左,,投手,支配下,2026/4/7,57,
読売ジャイアンツ,58,船迫 大雅,1996.10.16,174,80,右,左,,投手,支配下,2026/4/7,58,TRUE
読売ジャイアンツ,62,横川 凱,2000.08.30,190,98,左,左,,投手,支配下,2026/4/7,62,
読売ジャイアンツ,63,泉 圭輔,1997.03.02,188,87,右,右,,投手,支配下,2026/4/7,63,
読売ジャイアンツ,64,山田 龍聖,2000.09.07,184,92,左,左,,投手,支配下,2026/4/7,64,
読売ジャイアンツ,65,石川 達也,1998.04.15,178,83,左,右,,投手,支配下,2026/4/7,65,
読売ジャイアンツ,66,平内 龍太,1998.08.01,185,95,右,右,,投手,支配下,2026/4/7,66,
読売ジャイアンツ,91,堀田 賢慎,2001.05.21,186,90,右,右,,投手,支配下,2026/4/7,91,TRUE
読売ジャイアンツ,92,マルティネス,1996.10.11,193,93,右,左,,投手,支配下,2026/4/7,92,TRUE
読売ジャイアンツ,97,井上 温大,2001.05.13,176,86,左,左,,投手,支配下,2026/4/7,97,TRUE
読売ジャイアンツ,98,小笠原 慎之介,1997.10.08,180,93,左,左,6/18 支配下選手登録,投手,支配下,2026/4/7,98,
読売ジャイアンツ,10,甲斐 拓也,1992.11.05,170,87,右,右,,捕手,支配下,2026/4/7,10,TRUE
読売ジャイアンツ,22,小林 誠司,1989.06.07,178,86,右,右,,捕手,支配下,2026/4/7,22,TRUE
読売ジャイアンツ,24,大城 卓三,1993.02.11,187,97,右,左,,捕手,支配下,2026/4/7,24,TRUE
読売ジャイアンツ,27,岸田 行倫,1996.10.10,176,90,右,右,,捕手,支配下,2026/4/7,27,TRUE
読売ジャイアンツ,37,郡 拓也,1998.04.25,179,88,右,右,,捕手,支配下,2026/4/7,37,
読売ジャイアンツ,67,山瀬 慎之助,2001.05.04,177,89,右,右,,捕手,支配下,2026/4/7,67,
読売ジャイアンツ,0,湯浅 大,2000.01.24,172,73,右,右,,内野手,支配下,2026/4/7,0,
読売ジャイアンツ,0,増田 大輝,1993.07.29,172,71,右,右,,内野手,支配下,2026/4/7,0,TRUE
読売ジャイアンツ,2,吉川 尚輝,1995.02.08,177,82,右,左,,内野手,支配下,2026/4/7,2,
読売ジャイアンツ,5,門脇 誠,2001.01.24,172,75,右,左,,内野手,支配下,2026/4/7,5,TRUE
読売ジャイアンツ,6,坂本 勇人,1988.12.14,186,86,右,右,,内野手,支配下,2026/4/7,6,TRUE
読売ジャイアンツ,23,石塚 裕惺,2006.04.06,182,94,右,右,,内野手,支配下,2026/4/7,23,
読売ジャイアンツ,29,ダルベック,1995.06.29,191,102,右,右,,内野手,支配下,2026/4/7,29,TRUE
読売ジャイアンツ,32,浦田 俊輔,2002.08.30,171,67,右,左,,内野手,支配下,2026/4/7,32,TRUE
