team,status,player_id,name,affiliation,category,announcement_date,speaker,source_url,last_checked,note
読売ジャイアンツ,未公表,,,,,,,,2026-09-13,
阪神タイガース,未公表,,,,,,,,2026-09-13,
横浜DeNAベイスターズ,未公表,,,,,,,,2026-09-13,
広島東洋カープ,未公表,,,,,,,,2026-09-13,
東京ヤクルトスワローズ,未公表,,,,,,,,2026-09-13,
中日ドラゴンズ,未公表,,,,,,,,2026-09-13,
福岡ソフトバンクホークス,未公表,,,,,,,,2026-09-13,
北海道日本ハムファイターズ,未公表,,,,,,,,2026-09-13,
千葉ロッテマリーンズ,未公表,,,,,,,,2026-09-13,
東北楽天ゴールデンイーグルス,未公表,,,,,,,,2026-09-13,
オリックス・バファローズ,未公表,,,,,,,,2026-09-13,
埼玉西武ライオンズ,未公表,,,,,,,,2026-09-13,
