球団,リーグ,ポジション,選手,試合,刺殺,補殺,失策,併殺,捕逸,守備率,盗塁阻止率,更新日
阪神,セ,一塁手,大山 悠輔,118,1030,65,8,82,,0.993,,2026/09/03
阪神,セ,一塁手,小野寺 暖,2,3,0,0,0,,1,,2026/09/03
阪神,セ,一塁手,ガルシア,1,6,0,0,0,,1,,2026/09/03
阪神,セ,一塁手,木浪 聖也,2,18,4,0,3,,1,,2026/09/03
阪神,セ,一塁手,熊谷 敬宥,4,3,0,0,0,,1,,2026/09/03
阪神,セ,一塁手,元山 飛優,1,2,0,0,0,,1,,2026/09/03
阪神,セ,二塁手,植田 海,3,3,1,0,0,,1,,2026/09/03
阪神,セ,二塁手,熊谷 敬宥,8,7,21,0,3,,1,,2026/09/03
阪神,セ,二塁手,髙寺 望夢,11,16,27,0,3,,1,,2026/09/03
阪神,セ,二塁手,立石 正広,1,2,1,0,0,,1,,2026/09/03
阪神,セ,二塁手,谷端 将伍,1,2,2,0,1,,1,,2026/09/03
阪神,セ,二塁手,中野 拓夢,109,233,352,3,61,,0.995,,2026/09/03
阪神,セ,二塁手,元山 飛優,1,0,0,0,0,,0,,2026/09/03
阪神,セ,三塁手,木浪 聖也,3,1,8,1,1,,0.9,,2026/09/03
阪神,セ,三塁手,熊谷 敬宥,1,0,0,0,0,,0,,2026/09/03
阪神,セ,三塁手,佐藤 輝明,102,65,146,14,12,,0.938,,2026/09/03
阪神,セ,三塁手,立石 正広,18,12,20,0,1,,1,,2026/09/03
阪神,セ,三塁手,元山 飛優,1,0,0,0,0,,0,,2026/09/03
阪神,セ,遊撃手,小幡 竜平,34,37,73,6,16,,0.948,,2026/09/03
阪神,セ,遊撃手,木浪 聖也,29,38,64,2,11,,0.981,,2026/09/03
阪神,セ,遊撃手,熊谷 敬宥,47,60,107,5,30,,0.971,,2026/09/03
阪神,セ,遊撃手,元山 飛優,31,41,87,4,13,,0.97,,2026/09/03
阪神,セ,外野手,植田 海,4,0,0,0,0,,0,,2026/09/03
阪神,セ,外野手,岡城 快生,9,13,0,0,0,,1,,2026/09/03
阪神,セ,外野手,小野寺 暖,15,7,1,1,0,,0.889,,2026/09/03
阪神,セ,外野手,ガルシア,5,6,0,0,0,,1,,2026/09/03
阪神,セ,外野手,熊谷 敬宥,4,1,0,0,0,,1,,2026/09/03
阪神,セ,外野手,佐藤 輝明,18,34,0,2,0,,0.944,,2026/09/03
阪神,セ,外野手,島田 海吏,2,1,0,0,0,,1,,2026/09/03
