球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO
読売ジャイアンツ,甲斐 拓也,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,小林 誠司,捕手,0.000,4,0,0,0,0,0,0,1,1,0,0,0,0,0.200,0.000,0.200,0.000
読売ジャイアンツ,大城 卓三,捕手,0.259,54,5,14,6,0,2,4,21,3,0,0,0,1,0.239,0.481,0.721,0.222
読売ジャイアンツ,岸田 行倫,捕手,0.281,32,6,9,0,0,2,4,9,5,2,2,0,1,0.333,0.469,0.802,0.188
読売ジャイアンツ,郡 拓也,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,山瀬 慎之助,捕手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,湯浅 大,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,増田 大輝,内野手,0.000,1,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,吉川 尚輝,内野手,0.216,51,6,11,0,0,0,2,12,3,1,0,2,0,0.227,0.216,0.443,0.000
読売ジャイアンツ,門脇 誠,内野手,0.000,6,2,0,0,0,0,0,2,0,0,1,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,坂本 勇人,内野手,0.087,23,3,2,1,0,0,1,13,2,0,0,0,0,0.148,0.130,0.279,0.043
読売ジャイアンツ,石塚 裕惺,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
読売ジャイアンツ,ダルベック,内野手,0.246,61,7,15,4,0,3,9,25,7,0,0,0,0,0.265,0.459,0.724,0.213
読売ジャイアンツ,浦田 俊輔,内野手,0.333,48,6,16,0,0,0,2,5,1,2,2,8,0,0.284,0.333,0.617,0.000
読売ジャイアンツ,小濱 佑斗,内野手,0.143,7,0,1,0,0,0,0,3,0,0,0,0,0,0.125,0.143,0.268,0.000
読売ジャイアンツ,泉口 友汰,内野手,0.214,56,8,12,2,1,0,4,8,7,2,1,1,1,0.273,0.286,0.558,0.071
読売ジャイアンツ,リチャード,内野手,0.200,5,1,1,0,0,1,1,3,0,0,0,0,0,0.167,0.800,0.967,0.600
読売ジャイアンツ,荒巻 悠,内野手,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000
