順位,球団,リーグ,試合数,勝利,敗戦,分け,残り試合,残り阪神,残り巨人,残りDeNA,残りヤクルト,残り中日,残り広島,残りソフトバンク,残り西武,残り日本ハム,残りオリックス,残りロッテ,残り楽天,試合実績阪神,試合実績巨人,試合実績DeNA,試合実績ヤクルト,試合実績中日,試合実績広島,試合実績ソフトバンク,試合実績西武,試合実績日本ハム,試合実績オリックス,試合実績ロッテ,試合実績楽天,更新日
1,阪神,セリーグ,135,75,59,1,8,-,1,2,2,0,3,0,0,0,0,0,0,-,16勝8敗0分,12勝11敗0分,16勝7敗0分,14勝11敗0分,11勝10敗1分,0勝3敗0分,0勝3敗0分,0勝3敗0分,1勝2敗0分,2勝1敗0分,3勝0敗0分,2026/09/25
2,巨人,セリーグ,138,74,62,2,5,1,-,1,2,0,1,0,0,0,0,0,0,8勝16敗0分,-,13勝11敗0分,13勝10敗0分,15勝10敗0分,15勝9敗0分,1勝2敗0分,1勝2敗0分,2勝1敗0分,3勝0敗0分,1勝0敗2分,2勝1敗0分,2026/09/25
3,DeNA,セリーグ,138,69,66,3,5,2,1,-,0,0,2,0,0,0,0,0,0,11勝12敗0分,11勝13敗0分,-,12勝13敗0分,16勝8敗1分,14勝7敗2分,1勝2敗0分,1勝2敗0分,0勝3敗0分,1勝2敗0分,1勝2敗0分,1勝2敗0分,2026/09/25
4,ヤクルト,セリーグ,136,58,76,2,7,2,2,0,-,2,1,0,0,0,0,0,0,7勝16敗0分,10勝13敗0分,13勝12敗0分,-,8勝14敗1分,14勝10敗0分,2勝1敗0分,0勝2敗1分,0勝3敗0分,0勝3敗0分,1勝2敗0分,3勝0敗0分,2026/09/25
5,中日,セリーグ,140,59,79,2,3,0,0,0,2,-,1,0,0,0,0,0,0,11勝14敗0分,10勝15敗0分,8勝16敗1分,14勝8敗1分,-,9勝15敗0分,0勝3敗0分,1勝2敗0分,1勝2敗0分,1勝2敗0分,1勝2敗0分,3勝0敗0分,2026/09/25
6,広島,セリーグ,135,56,75,4,8,3,1,2,1,1,-,0,0,0,0,0,0,10勝11敗1分,9勝15敗0分,7勝14敗2分,10勝14敗0分,15勝9敗0分,-,0勝3敗0分,0勝3敗0分,1勝2敗0分,2勝0敗1分,0勝3敗0分,2勝1敗0分,2026/09/25
1,ソフトバンク,パリーグ,137,87,47,3,6,0,0,0,0,0,0,-,0,0,1,2,3,3勝0敗0分,2勝1敗0分,2勝1敗0分,1勝2敗0分,3勝0敗0分,3勝0敗0分,-,14勝11敗0分,18勝5敗2分,14勝10敗0分,16勝6敗1分,11勝11敗0分,2026/09/25
2,西武,パリーグ,137,74,59,4,6,0,0,0,0,0,0,0,-,0,1,3,2,3勝0敗0分,2勝1敗0分,2勝1敗0分,2勝0敗1分,2勝1敗0分,3勝0敗0分,11勝14敗0分,-,12勝12敗1分,12勝11敗1分,11勝11敗0分,14勝8敗1分,2026/09/25
3,日本ハム,パリーグ,139,75,61,3,4,0,0,0,0,0,0,0,0,-,1,3,0,3勝0敗0分,1勝2敗0分,3勝0敗0分,3勝0敗0分,2勝1敗0分,2勝1敗0分,5勝18敗2分,12勝12敗1分,-,15勝9敗0分,13勝9敗0分,16勝9敗0分,2026/09/25
4,オリックス,パリーグ,139,65,72,2,4,0,0,0,0,0,0,1,1,1,-,0,1,2勝1敗0分,0勝3敗0分,2勝1敗0分,3勝0敗0分,2勝1敗0分,0勝2敗1分,10勝14敗0分,11勝12敗1分,9勝15敗0分,-,16勝9敗0分,10勝14敗0分,2026/09/25
5,ロッテ,パリーグ,132,59,70,3,11,0,0,0,0,0,0,2,3,3,0,-,3,1勝2敗0分,0勝1敗2分,2勝1敗0分,2勝1敗0分,2勝1敗0分,3勝0敗0分,6勝16敗1分,11勝11敗0分,9勝13敗0分,9勝16敗0分,-,14勝8敗0分,2026/09/25
6,楽天,パリーグ,134,54,79,1,9,0,0,0,0,0,0,3,2,0,1,3,-,0勝3敗0分,1勝2敗0分,2勝1敗0分,0勝3敗0分,0勝3敗0分,1勝2敗0分,11勝11敗0分,8勝14敗1分,9勝16敗0分,14勝10敗0分,8勝14敗0分,-,2026/09/25
