試合ID,試合日,曜日,リーグ区分,ホーム/ビジター,球団,対戦球団,投手フルネーム,登板順,登板区分,結果,投球数,打者,投球回,投球回(アウト),奪三振,暴投,ボーク,失点,自責点,試合防御率
20260808_M-B_19,2026-08-08,土,パ・リーグ公式戦,ビジター,オリックス・バファローズ,千葉ロッテマリーンズ,曽谷 龍平,1,先発,敗,86,21,5,15,7,1,0,4,4,7.20
20260808_M-B_19,2026-08-08,土,パ・リーグ公式戦,ビジター,オリックス・バファローズ,千葉ロッテマリーンズ,阿部 翔太,2,救援,,27,5,1,3,0,0,0,0,0,0.00
20260808_M-B_19,2026-08-08,土,パ・リーグ公式戦,ビジター,オリックス・バファローズ,千葉ロッテマリーンズ,富山 凌雅,3,救援,,10,3,1,3,0,0,0,0,0,0.00
20260808_M-B_19,2026-08-08,土,パ・リーグ公式戦,ビジター,オリックス・バファローズ,千葉ロッテマリーンズ,片山 楽生,4,救援,,15,3,1,3,2,0,0,0,0,0.00
20260808_DB-C_17,2026-08-08,土,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,篠木 健太郎,1,先発,,89,23,5+,15,2,0,0,2,2,3.60
20260808_DB-C_17,2026-08-08,土,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,松本 凌人,2,救援,,24,5,0.2,2,1,0,0,0,0,0.00
20260808_DB-C_17,2026-08-08,土,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,伊勢 大夢,3,救援,H,7,1,0.1,1,1,0,0,0,0,0.00
20260808_DB-C_17,2026-08-08,土,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,中川 虎大,4,救援,,13,4,1,3,2,0,0,1,1,9.00
20260808_DB-C_17,2026-08-08,土,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,浜地 真澄,5,救援,,16,3,1,3,1,0,0,0,0,0.00
20260808_DB-C_17,2026-08-08,土,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,Ｓ．レイノルズ,6,救援,H,9,3,1,3,1,0,0,0,0,0.00
20260808_DB-C_17,2026-08-08,土,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,Ｊ．ルイーズ,7,救援,H,18,5,1,3,1,0,0,0,0,0.00
20260808_DB-C_17,2026-08-08,土,セ・リーグ公式戦,ホーム,横浜DeNAベイスターズ,広島東洋カープ,馬場 皐輔,8,救援,勝,28,8,2,6,3,0,0,0,0,0.00
20260808_DB-C_17,2026-08-08,土,セ・リーグ公式戦,ビジター,広島東洋カープ,横浜DeNAベイスターズ,斉藤 優汰,1,先発,,85,22,5,15,4,0,0,2,2,3.60
