球団,選手名,ポジション,防御率,投球回,投球アウト数,投球数,打者,被安打,被本塁打,奪三振,与四球,与死球,ボーク,失点,自責点,WHIP
読売ジャイアンツ,田中 将大,投手,5.79,14,42,245,64,18,1,11,5,0,0,9,9,1.643
読売ジャイアンツ,大勢,投手,1.29,7,21,96,23,2,1,10,0,1,0,1,1,0.429
読売ジャイアンツ,西舘 勇陽,投手,0.69,13,39,216,54,10,0,15,5,0,0,1,1,1.154
読売ジャイアンツ,山﨑 伊織,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,戸郷 翔征,投手,0.53,17,51,265,68,12,0,21,4,3,0,1,1,1.118
読売ジャイアンツ,竹丸 和幸,投手,2.37,15.2,47,216,58,8,1,22,2,0,0,6,4,0.658
読売ジャイアンツ,ウィットリー,投手,1.49,12.1,37,173,47,6,0,11,5,2,0,2,2,1.074
読売ジャイアンツ,ハワード,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,田和 廉,投手,0.00,3.3,12,53,13,0,0,3,1,0,0,0,0,0.303
読売ジャイアンツ,赤星 優志,投手,3.00,6,18,80,22,3,0,4,1,0,0,2,2,0.667
読売ジャイアンツ,山城 京平,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,中川 皓太,投手,6.43,4.2,14,86,21,5,2,6,2,1,0,3,3,1.905
読売ジャイアンツ,マタ,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,則本 昂大,投手,6.47,15.3,48,324,71,18,4,10,8,1,0,11,11,1.765
読売ジャイアンツ,田中 瑛斗,投手,0.00,5.2,17,88,21,3,0,4,1,0,0,0,0,0.769
読売ジャイアンツ,又木 鉄平,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,森田 駿哉,投手,6.59,8.2,26,158,42,13,1,5,3,1,0,6,6,2.073
読売ジャイアンツ,ルシアーノ,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,バルドナード,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,高梨 雄平,投手,5.63,1.6,9,57,14,2,1,3,3,0,0,1,1,3.125
読売ジャイアンツ,松浦 慶斗,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,北浦 竜次,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,宮原 駿介,投手,4.50,2,6,33,9,2,0,2,1,0,1,1,1,1.500
読売ジャイアンツ,船迫 大雅,投手,0.00,1.3,6,28,6,0,0,0,0,0,0,0,0,0.000
読売ジャイアンツ,横川 凱,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,泉 圭輔,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,山田 龍聖,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,石川 達也,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,平内 龍太,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,堀田 賢慎,投手,1.76,5.1,16,75,19,3,1,4,1,0,0,1,1,0.784
読売ジャイアンツ,マルティネス,投手,2.25,8,24,132,33,8,1,9,3,0,0,2,2,1.375
読売ジャイアンツ,井上 温大,投手,2.34,19.2,59,295,77,16,2,18,4,1,0,5,5,1.094
読売ジャイアンツ,冨重 英二郎,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
読売ジャイアンツ,林 燦,投手,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0.00
