球団,選手名,ポジション,打率,打数,得点,安打,二塁打,三塁打,本塁打,打点,三振,四球,死球,犠打,盗塁,失策,出塁率,長打率,OPS,ISO,期間
読売ジャイアンツ,甲斐 拓也,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,小林 誠司,捕手,0,3,0,0,0,0,0,0,2,1,0,0,0,0,0.25,0,0.25,0,2026/07/08_2026/07/13
読売ジャイアンツ,大城 卓三,捕手,0.6666666667,6,1,4,3,0,1,3,0,3,0,1,0,0,0.7777777778,1.666666667,2.444444444,1,2026/07/08_2026/07/13
読売ジャイアンツ,岸田 行倫,捕手,0.2222222222,9,1,2,1,0,0,0,2,1,0,0,0,0,0.3,0.3333333333,0.6333333333,0.1111111111,2026/07/08_2026/07/13
読売ジャイアンツ,郡 拓也,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,山瀬 慎之助,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,湯浅 大,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,増田 大輝,内野手,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,吉川 尚輝,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,門脇 誠,内野手,0.125,8,0,1,0,0,0,1,3,3,0,2,0,1,0.3636363636,0.125,0.4886363636,0,2026/07/08_2026/07/13
読売ジャイアンツ,坂本 勇人,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,石塚 裕惺,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,ダルベック,内野手,0.3333333333,18,3,6,1,0,1,5,3,3,0,0,0,0,0.4285714286,0.5555555556,0.9841269841,0.2222222222,2026/07/08_2026/07/13
読売ジャイアンツ,浦田 俊輔,内野手,0.3888888889,18,4,7,0,0,0,1,2,4,1,0,4,0,0.5217391304,0.3888888889,0.9106280193,0,2026/07/08_2026/07/13
読売ジャイアンツ,小濱 佑斗,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,泉口 友汰,内野手,0.2,10,0,2,1,0,0,2,0,2,0,0,0,0,0.3333333333,0.3,0.6333333333,0.1,2026/07/08_2026/07/13
読売ジャイアンツ,リチャード,内野手,0,7,0,0,0,0,0,0,4,3,0,0,0,1,0.3,0,0.3,0,2026/07/08_2026/07/13
読売ジャイアンツ,荒巻 悠,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,増田 陸,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,宇都宮 葵星,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,平山 功太,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,藤井 健翔,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,丸 佳浩,外野手,0.25,4,0,1,1,0,0,0,1,0,0,0,0,0,0.25,0.5,0.75,0.25,2026/07/08_2026/07/13
読売ジャイアンツ,松本 剛,外野手,0.1538461538,13,2,2,1,0,0,0,3,2,0,2,0,2,0.2666666667,0.2307692308,0.4974358974,0.07692307692,2026/07/08_2026/07/13
読売ジャイアンツ,萩尾 匡也,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,キャベッジ,外野手,0.1764705882,17,3,3,1,0,1,1,4,4,0,0,0,0,0.3333333333,0.4117647059,0.7450980392,0.2352941176,2026/07/08_2026/07/13
読売ジャイアンツ,岡田 悠希,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,皆川 岳飛,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,中山 礼都,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,佐々木 俊輔,外野手,0.2727272727,11,1,3,0,0,1,4,4,1,0,0,0,0,0.3333333333,0.5454545455,0.8787878788,0.2727272727,2026/07/08_2026/07/13
読売ジャイアンツ,ティマ,外野手,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,浅野 翔吾,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,若林 楽人,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,三塚 琉生,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,松井 蓮太朗,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,喜多 隆介,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,亀田 啓太,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,坂本 達也,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,中田 歩夢,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,村山 源,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,田上 優弥,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,竹下 徠空,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,北村 流音,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,川原田 純平,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,鈴木 大和,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,知念 大成,外野手,0.2857142857,7,0,2,0,0,0,0,2,0,0,0,0,0,0.2857142857,0.2857142857,0.5714285714,0,2026/07/08_2026/07/13
読売ジャイアンツ,相澤 白虎,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,フェリス,外野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
読売ジャイアンツ,笹原 操希,外野手,0.25,12,2,3,2,0,0,1,4,1,0,0,0,0,0.3076923077,0.4166666667,0.7243589744,0.1666666667,2026/07/08_2026/07/13
阪神タイガース,梅野 隆太郎,捕手,0.1818181818,11,0,2,1,0,0,0,3,0,1,0,0,0,0.25,0.2727272727,0.5227272727,0.09090909091,2026/07/08_2026/07/13
阪神タイガース,坂本 誠志郎,捕手,0.2,5,0,1,0,0,0,0,2,0,0,0,0,0,0.2,0.2,0.4,0,2026/07/08_2026/07/13
阪神タイガース,伏見 寅威,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,榮枝 裕貴,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,町田 隼乙,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,長坂 拳弥,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,藤田 健斗,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,中川 勇斗,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,嶋村 麟士朗,捕手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,元山 飛優,内野手,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,木浪 聖也,内野手,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,大山 悠輔,内野手,0.375,16,2,6,2,0,1,6,3,3,0,0,0,0,0.4736842105,0.6875,1.161184211,0.3125,2026/07/08_2026/07/13
阪神タイガース,熊谷 敬宥,内野手,0.2352941176,17,1,4,1,0,0,1,5,1,0,0,1,1,0.2777777778,0.2941176471,0.5718954248,0.05882352941,2026/07/08_2026/07/13
阪神タイガース,中野 拓夢,内野手,0.2941176471,17,5,5,0,0,0,0,3,2,0,1,0,0,0.3684210526,0.2941176471,0.6625386997,0,2026/07/08_2026/07/13
阪神タイガース,佐藤 輝明,内野手,0.2941176471,17,5,5,2,0,2,4,4,2,0,0,0,2,0.3684210526,0.7647058824,1.133126935,0.4705882353,2026/07/08_2026/07/13
阪神タイガース,立石 正広,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,ディベイニー,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,谷端 将伍,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,糸原 健斗,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,小幡 竜平,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,佐野 大陽,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,山田 脩也,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,百﨑 蒼生,内野手,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,植田 海,内野手,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026/07/08_2026/07/13
阪神タイガース,髙寺 望夢,内野手,0.09090909091,11,0,1,0,0,0,1,2,0,2,0,0,0,0.2307692308,0.09090909091,0.3216783217,0,2026/07/08_2026/07/13
阪神タイガース,森下 翔太,外野手,0.2777777778,18,5,5,1,0,2,4,1,2,1,0,0,0,0.380952381,0.6666666667,1.047619048,0.3888888889,2026/07/08_2026/07/13
