リーグ,球団,先発投手ID,先発投手名,先発捕手ID,先発捕手名,先発回数,対戦球団数,対戦球団一覧,チーム勝,チーム敗,チーム分,チーム勝率,投手勝,投手敗,勝敗なし,QS,QS率,HQS,HQS率,投球アウト数,投球回表示,平均投球回,失点合計,自責点合計,防御率,援護点合計,平均援護点,最新登板日,更新日
セ,DeNA,51155136,東 克樹,21825157,松尾 汐恩,11,6,オリックス、楽天、広島、阪神、中日、日本ハム,6,5,0,0.545,5,3,3,9,0.818,3,0.273,213,71,6.45,27,25,3.17,46,4.18,2026-08-05,2026-08-05
セ,DeNA,61365136,尾形 崇斗,21825157,松尾 汐恩,10,7,ソフトバンク、ヤクルト、ロッテ、巨人、阪神、西武、中日,5,5,0,0.500,3,3,4,4,0.400,1,0.100,150,50,5.00,19,19,3.42,47,4.70,2026-08-11,2026-08-11
セ,DeNA,01905139,平良 拳太郎,21825157,松尾 汐恩,10,7,オリックス、ヤクルト、楽天、巨人、広島、中日、日本ハム,3,6,1,0.333,2,4,4,3,0.300,1,0.100,157,52.1,5.23,24,24,4.13,25,2.50,2026-08-07,2026-08-07
セ,DeNA,41045150,篠木 健太郎,21825157,松尾 汐恩,8,6,オリックス、ソフトバンク、ヤクルト、ロッテ、巨人、阪神,5,3,0,0.625,4,2,2,3,0.375,2,0.250,141,47,5.88,26,26,4.98,55,6.88,2026-08-01,2026-08-01
セ,DeNA,21125159,石田 裕太郎,23125136,山本 祐大,7,4,ヤクルト、巨人、広島、阪神,3,4,0,0.429,2,4,1,5,0.714,0,0.000,128,42.2,6.10,14,12,2.53,26,3.71,2026-05-10,2026-07-10
セ,DeNA,51155136,東 克樹,23125136,山本 祐大,6,4,ヤクルト、巨人、広島、中日,3,2,1,0.600,3,2,1,6,1.000,2,0.333,114,38,6.33,12,8,1.89,21,3.50,2026-05-05,2026-07-10
セ,DeNA,61365153,入江 大生,21825157,松尾 汐恩,5,3,ヤクルト、巨人、中日,0,4,1,0.000,0,3,2,1,0.200,0,0.000,61,20.1,4.07,19,19,8.41,8,1.60,2026-06-23,2026-07-10
セ,DeNA,21125159,石田 裕太郎,41245132,戸柱 恭孝,4,4,ヤクルト、楽天、阪神、日本ハム,1,3,0,0.250,1,2,1,2,0.500,0,0.000,70,23.1,5.83,11,11,4.24,6,1.50,2026-06-19,2026-07-10
セ,DeNA,21125159,石田 裕太郎,21825157,松尾 汐恩,4,3,巨人、広島、中日,2,2,0,0.500,1,2,1,3,0.750,1,0.250,75,25,6.25,7,7,2.52,10,2.50,2026-07-14,2026-07-14
セ,DeNA,61665155,深沢 鳳介,23125136,山本 祐大,3,3,広島、阪神、中日,2,1,0,0.667,0,1,2,0,0.000,0,0.000,39,13,4.33,14,9,6.23,21,7.00,2026-05-06,2026-07-10
セ,DeNA,11415150,竹田 祐,21825157,松尾 汐恩,3,3,ヤクルト、広島、阪神,0,3,0,0.000,0,3,0,0,0.000,0,0.000,37,12.1,4.11,11,9,6.57,7,2.33,2026-05-19,2026-07-10
