シーズン,試合日,公式試合ID,リーグ,球団,相手球団,ホーム／ビジター,球場,先発投手ID,先発投手名,先発捕手ID,先発捕手名,自チーム得点,相手得点,チーム結果,先発投手結果,投球アウト数,投球回表示,失点,自責点,投球数,被安打,与四球,奪三振,QS,HQS,試合状態,更新日
2026,2026-03-27,20260327-b-e-01,パ,オリックス,楽天,ホーム,京セラD大阪,71875151,宮城 大弥,91495139,森 友哉,0,10,敗,敗,5,1.2,8,2,56,8,1,2,0,0,終了,2026-07-10
2026,2026-03-27,20260327-b-e-01,パ,楽天,オリックス,ビジター,京セラD大阪,21925157,荘司 康誠,71375138,太田 光,10,0,勝,勝,24,8,0,0,105,4,0,9,1,1,終了,2026-07-10
2026,2026-03-27,20260327-c-d-01,セ,広島,中日,ホーム,マツダスタジアム,11415134,床田 寛樹,11915134,坂倉 将吾,6,5,勝,勝敗なし,15,5,2,2,97,9,0,5,0,0,終了,2026-07-10
2026,2026-03-27,20260327-c-d-01,セ,中日,広島,ビジター,マツダスタジアム,63165134,柳 裕也,21125150,石伊 雄太,5,6,敗,勝敗なし,18,6,1,1,91,6,1,5,1,0,終了,2026-07-10
2026,2026-03-27,20260327-db-s-01,セ,DeNA,ヤクルト,ホーム,横 浜,51155136,東 克樹,23125136,山本 祐大,2,3,敗,敗,18,6,3,3,100,4,4,7,1,0,終了,2026-07-10
2026,2026-03-27,20260327-db-s-01,セ,ヤクルト,DeNA,ビジター,横 浜,53555157,吉村 貢司郎,01705134,古賀 優大,3,2,勝,勝,16,5.1,2,2,93,5,0,7,0,0,終了,2026-07-10
2026,2026-03-27,20260327-g-t-01,セ,巨人,阪神,ホーム,東京ドーム,71275152,竹丸 和幸,91595136,岸田 行倫,3,1,勝,勝,18,6,1,1,79,3,2,5,1,0,終了,2026-07-10
2026,2026-03-27,20260327-g-t-01,セ,阪神,巨人,ビジター,東京ドーム,13315153,村上 頌樹,11915132,坂本 誠志郎,1,3,敗,敗,18,6,3,3,101,5,2,7,1,0,終了,2026-07-10
2026,2026-03-27,20260327-h-f-01,パ,ソフトバンク,日本ハム,ホーム,みずほPayPay,51355135,上沢 直之,81385151,海野 隆司,6,5,勝,勝敗なし,15,5,4,2,90,6,0,5,0,0,終了,2026-07-10
2026,2026-03-27,20260327-h-f-01,パ,日本ハム,ソフトバンク,ビジター,みずほPayPay,51355153,伊藤 大海,51055138,田宮 裕涼,5,6,敗,勝敗なし,17,5.2,5,5,90,9,0,4,0,0,終了,2026-07-10
2026,2026-03-27,20260327-m-l-01,パ,ロッテ,西武,ホーム,ZOZOマリン,73175152,毛利 海大,53155155,松川 虎生,3,1,勝,勝,15,5,0,0,70,4,1,2,0,0,終了,2026-07-10
2026,2026-03-27,20260327-m-l-01,パ,西武,ロッテ,ビジター,ZOZOマリン,53155138,渡邉 勇太朗,41745152,小島 大河,1,3,敗,敗,21,7,2,2,112,6,2,6,1,1,終了,2026-07-10
2026,2026-03-28,20260328-b-e-02,パ,オリックス,楽天,ホーム,京セラD大阪,71775139,九里 亜蓮,41645139,若月 健矢,6,0,勝,勝,27,9,0,0,132,4,0,12,1,1,終了,2026-07-10
2026,2026-03-28,20260328-b-e-02,パ,楽天,オリックス,ビジター,京セラD大阪,31235151,瀧中 瞭太,71375138,太田 光,0,6,敗,敗,11,3.2,2,2,86,4,4,4,0,0,終了,2026-07-10
2026,2026-03-28,20260328-c-d-02,セ,広島,中日,ホーム,マツダスタジアム,43545152,ターノック,11915134,坂倉 将吾,2,1,勝,勝敗なし,21,7,0,0,94,5,0,7,1,1,終了,2026-07-10
2026,2026-03-28,20260328-c-d-02,セ,中日,広島,ビジター,マツダスタジアム,21925152,櫻井 頼之介,21125150,石伊 雄太,1,2,敗,勝敗なし,21,7,1,0,101,3,2,9,1,1,終了,2026-07-10
2026,2026-03-28,20260328-db-s-02,セ,DeNA,ヤクルト,ホーム,横 浜,61365153,入江 大生,21825157,松尾 汐恩,2,5,敗,敗,12,4,4,4,85,5,3,6,0,0,終了,2026-07-10
2026,2026-03-28,20260328-db-s-02,セ,ヤクルト,DeNA,ビジター,横 浜,63365153,山野 太一,01005159,鈴木 叶,5,2,勝,勝,21,7,2,2,101,8,1,4,1,1,終了,2026-07-10
2026,2026-03-28,20260328-g-t-02,セ,巨人,阪神,ホーム,東京ドーム,23725150,ハワード,91595136,岸田 行倫,0,2,敗,敗,18,6,1,0,97,4,4,7,1,0,終了,2026-07-10
2026,2026-03-28,20260328-g-t-02,セ,阪神,巨人,ビジター,東京ドーム,91095136,髙橋 遥人,61065137,伏見 寅威,2,0,勝,勝,27,9,0,0,112,3,2,6,1,1,終了,2026-07-10
