リーグ,球団,先発投手ID,先発投手名,先発数,組んだ捕手数,最多先発捕手ID,最多先発捕手名,最多捕手との先発数,最多捕手割合,チーム勝,チーム敗,チーム分,チーム勝率,投手勝,投手敗,勝敗なし,投球アウト数,投球回表示,失点,自責点,防御率,QS,QS率,HQS,HQS率,平均投球回,援護点合計,平均援護点,チーム消化試合,規定投球回,規定到達,最新登板日,更新日
セ,DeNA,51155136,東 克樹,24,4,21825157,松尾 汐恩,11,0.458,14,9,1,0.609,12,5,7,465,155,47,40,2.32,21,0.875,9,0.375,6.46,99,4.13,138,138,到達,2026-09-22,2026-09-23
セ,DeNA,21125159,石田 裕太郎,20,4,41245132,戸柱 恭孝,7,0.350,9,11,0,0.450,5,8,7,362,120.2,41,39,2.91,13,0.650,2,0.100,6.03,61,3.05,138,138,未到達,2026-09-25,2026-09-25
セ,DeNA,01905139,平良 拳太郎,19,4,21825157,松尾 汐恩,11,0.579,7,11,1,0.389,5,8,6,298,99.1,40,38,3.44,5,0.263,1,0.053,5.23,53,2.79,138,138,未到達,2026-09-21,2026-09-21
セ,DeNA,61365136,尾形 崇斗,15,3,21825157,松尾 汐恩,12,0.800,10,5,0,0.667,5,3,7,242,80.2,30,28,3.12,6,0.400,3,0.200,5.38,70,4.67,138,138,未到達,2026-09-19,2026-09-19
セ,DeNA,41045150,篠木 健太郎,13,4,21825157,松尾 汐恩,8,0.615,8,5,0,0.615,5,2,6,215,71.2,37,37,4.65,4,0.308,2,0.154,5.51,73,5.62,138,138,未到達,2026-08-30,2026-08-30
セ,DeNA,61665155,深沢 鳳介,10,4,91895155,古市 尊,3,0.300,8,2,0,0.800,5,1,4,164,54.2,23,18,2.96,3,0.300,2,0.200,5.47,61,6.10,138,138,未到達,2026-09-23,2026-09-23
セ,DeNA,11415150,竹田 祐,8,3,21825157,松尾 汐恩,5,0.625,4,4,0,0.500,3,4,1,111,37,25,19,4.62,1,0.125,0,0.000,4.63,35,4.38,138,138,未到達,2026-09-20,2026-09-21
セ,DeNA,61565152,片山 皓心,7,3,41245132,戸柱 恭孝,4,0.571,4,3,0,0.571,3,2,2,112,37.1,12,11,2.65,3,0.429,1,0.143,5.33,24,3.43,138,138,未到達,2026-09-18,2026-09-18
セ,DeNA,61365153,入江 大生,7,2,21825157,松尾 汐恩,5,0.714,0,6,1,0.000,0,3,4,90,30,25,23,6.90,1,0.143,0,0.000,4.29,15,2.14,138,138,未到達,2026-06-23,2026-07-10
セ,DeNA,11015152,島田 舜也,4,2,21825157,松尾 汐恩,3,0.750,3,1,0,0.750,1,1,2,59,19.2,11,11,5.03,1,0.250,0,0.000,4.92,17,4.25,138,138,未到達,2026-05-29,2026-07-10
セ,DeNA,41045137,藤浪 晋太郎,3,1,21825157,松尾 汐恩,3,1.000,0,3,0,0.000,0,1,2,30,10,7,7,6.30,0,0.000,0,0.000,3.33,11,3.67,138,138,未到達,2026-08-20,2026-08-20
セ,DeNA,83385152,コックス,2,1,23125136,山本 祐大,2,1.000,1,1,0,0.500,1,0,1,27,9,3,3,3.00,1,0.500,0,0.000,4.50,8,4.00,138,138,未到達,2026-04-08,2026-07-10
セ,DeNA,13715150,デュプランティエ,2,1,23125136,山本 祐大,2,1.000,0,2,0,0.000,0,2,0,27,9,4,3,3.00,0,0.000,0,0.000,4.50,1,0.50,138,138,未到達,2026-04-16,2026-07-10
