選手,球団名,対球団名,先発,救援,防御率,勝利,敗戦,HLD,セーブ,更新日
田中 将大,読売ジャイアンツ,オリックス・バファローズ,1,0,1.29,0,0,0,0,2026/08/31
田中 将大,読売ジャイアンツ,横浜DeNAベイスターズ,1,0,0.00,0,0,0,0,2026/08/31
田中 将大,読売ジャイアンツ,広島東洋カープ,1,0,0.00,0,0,0,0,2026/08/31
田中 将大,読売ジャイアンツ,阪神タイガース,3,0,5.06,2,1,0,0,2026/08/31
田中 将大,読売ジャイアンツ,埼玉西武ライオンズ,0,0,,0,0,0,0,2026/08/31
田中 将大,読売ジャイアンツ,千葉ロッテマリーンズ,0,0,,0,0,0,0,2026/08/31
田中 将大,読売ジャイアンツ,中日ドラゴンズ,2,0,2.53,1,1,0,0,2026/08/31
田中 将大,読売ジャイアンツ,東京ヤクルトスワローズ,1,0,6.75,0,1,0,0,2026/08/31
田中 将大,読売ジャイアンツ,東北楽天ゴールデンイーグルス,1,0,22.50,0,1,0,0,2026/08/31
田中 将大,読売ジャイアンツ,福岡ソフトバンクホークス,1,0,5.40,0,0,0,0,2026/08/31
田中 将大,読売ジャイアンツ,北海道日本ハムファイターズ,0,0,,0,0,0,0,2026/08/31
大勢,読売ジャイアンツ,オリックス・バファローズ,0,1,0.00,0,0,1,0,2026/08/31
大勢,読売ジャイアンツ,横浜DeNAベイスターズ,0,7,3.00,0,0,6,0,2026/08/31
大勢,読売ジャイアンツ,広島東洋カープ,0,2,4.50,0,0,1,0,2026/08/31
大勢,読売ジャイアンツ,阪神タイガース,0,3,0.00,1,0,2,0,2026/08/31
大勢,読売ジャイアンツ,埼玉西武ライオンズ,0,1,0.00,0,0,1,0,2026/08/31
大勢,読売ジャイアンツ,千葉ロッテマリーンズ,0,2,0.00,0,0,2,0,2026/08/31
大勢,読売ジャイアンツ,中日ドラゴンズ,0,8,0.00,0,1,4,2,2026/08/31
大勢,読売ジャイアンツ,東京ヤクルトスワローズ,0,5,6.23,0,0,3,1,2026/08/31
大勢,読売ジャイアンツ,東北楽天ゴールデンイーグルス,0,0,,0,0,0,0,2026/08/31
大勢,読売ジャイアンツ,福岡ソフトバンクホークス,0,1,0.00,0,0,0,0,2026/08/31
大勢,読売ジャイアンツ,北海道日本ハムファイターズ,0,2,4.50,0,0,2,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,オリックス・バファローズ,0,0,,0,0,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,横浜DeNAベイスターズ,0,0,,0,0,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,広島東洋カープ,1,0,3.60,0,1,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,阪神タイガース,2,1,5.68,0,2,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,埼玉西武ライオンズ,0,0,,0,0,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,千葉ロッテマリーンズ,1,0,1.29,0,0,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,中日ドラゴンズ,0,0,,0,0,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,東京ヤクルトスワローズ,2,0,1.13,1,0,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,東北楽天ゴールデンイーグルス,0,0,,0,0,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,福岡ソフトバンクホークス,0,0,,0,0,0,0,2026/08/31
西舘 勇陽,読売ジャイアンツ,北海道日本ハムファイターズ,1,0,0.00,1,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,オリックス・バファローズ,0,0,,0,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,横浜DeNAベイスターズ,1,0,4.50,0,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,広島東洋カープ,2,0,2.92,1,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,阪神タイガース,1,0,10.13,0,1,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,埼玉西武ライオンズ,0,0,,0,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,千葉ロッテマリーンズ,0,0,,0,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,中日ドラゴンズ,0,0,,0,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,東京ヤクルトスワローズ,1,0,4.76,0,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,東北楽天ゴールデンイーグルス,0,0,,0,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,福岡ソフトバンクホークス,0,0,,0,0,0,0,2026/08/31
山﨑 伊織,読売ジャイアンツ,北海道日本ハムファイターズ,0,0,,0,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,オリックス・バファローズ,1,0,0.00,0,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,横浜DeNAベイスターズ,0,0,,0,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,広島東洋カープ,2,0,4.76,1,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,阪神タイガース,1,0,0.00,0,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,埼玉西武ライオンズ,0,0,,0,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,千葉ロッテマリーンズ,0,0,,0,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,中日ドラゴンズ,0,0,,0,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,東京ヤクルトスワローズ,3,0,2.84,1,1,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,東北楽天ゴールデンイーグルス,1,0,0.00,1,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,福岡ソフトバンクホークス,1,0,1.29,1,0,0,0,2026/08/31
戸郷 翔征,読売ジャイアンツ,北海道日本ハムファイターズ,0,0,,0,0,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,オリックス・バファローズ,0,0,,0,0,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,横浜DeNAベイスターズ,4,0,5.40,2,2,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,広島東洋カープ,1,0,3.00,1,0,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,阪神タイガース,3,0,3.00,2,1,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,埼玉西武ライオンズ,1,0,1.17,0,1,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,千葉ロッテマリーンズ,0,0,,0,0,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,中日ドラゴンズ,5,0,5.40,1,3,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,東京ヤクルトスワローズ,3,0,2.95,2,1,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,東北楽天ゴールデンイーグルス,0,0,,0,0,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,福岡ソフトバンクホークス,0,0,,0,0,0,0,2026/08/31
竹丸 和幸,読売ジャイアンツ,北海道日本ハムファイターズ,1,0,3.38,0,1,0,0,2026/08/31
代木 大和,読売ジャイアンツ,オリックス・バファローズ,0,0,,0,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,横浜DeNAベイスターズ,0,1,0.00,0,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,広島東洋カープ,1,1,1.29,1,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,阪神タイガース,0,1,9.00,0,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,埼玉西武ライオンズ,0,0,,0,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,千葉ロッテマリーンズ,0,0,,0,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,中日ドラゴンズ,0,1,6.75,0,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,東京ヤクルトスワローズ,0,1,0.00,0,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,東北楽天ゴールデンイーグルス,0,0,,0,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,福岡ソフトバンクホークス,0,0,,0,0,0,0,2026/08/31
代木 大和,読売ジャイアンツ,北海道日本ハムファイターズ,0,0,,0,0,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,オリックス・バファローズ,0,0,,0,0,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,横浜DeNAベイスターズ,2,0,4.50,0,0,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,広島東洋カープ,2,0,3.00,0,1,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,阪神タイガース,2,0,2.38,0,1,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,埼玉西武ライオンズ,1,0,1.50,1,0,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,千葉ロッテマリーンズ,1,0,1.42,0,0,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,中日ドラゴンズ,5,0,2.17,1,2,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,東京ヤクルトスワローズ,1,0,0.00,1,0,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,東北楽天ゴールデンイーグルス,0,0,,0,0,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,福岡ソフトバンクホークス,0,0,,0,0,0,0,2026/08/31
ウィットリー,読売ジャイアンツ,北海道日本ハムファイターズ,0,0,,0,0,0,0,2026/08/31
